Timestamp,Gesture,Control,Name,Score,Hand_position_x,Hand_position_y,Hand_position_z,Hand_pitch,Hand_yaw,Hand_roll,Hand_sphere_x,Hand_sphere_y,Hand_sphere_z,Hand_sphere_r,finger0_direction_x,finger0_direction_y,finger0_direction_z,finger0_tip_x,finger0_tip_y,finger0_tip_z,finger1_direction_x,finger1_direction_y,finger1_direction_z,finger1_tip_x,finger1_tip_y,finger1_tip_z,finger2_direction_x,finger2_direction_y,finger2_direction_z,finger2_tip_x,finger2_tip_y,finger2_tip_z,finger3_direction_x,finger3_direction_y,finger3_direction_z,finger3_tip_x,finger3_tip_y,finger3_tip_z,finger4_direction_x,finger4_direction_y,finger4_direction_z,finger4_tip_x,finger4_tip_y,finger4_tip_z
3/5/2014 13:23:45,6,Yes,6,1,66.5139,212.798,0.522751,0.619261552580808,-1.23257093045744,-0.287596269586645,22.3005,189.596,0.170022,89.1473,-0.538238,-0.374301,0.755115,-38.579,247.726,61.3057,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2014 14:12:52,6,No,15,1,65.4812,148.445,33.7451,-0.26530380228129,-0.698489951381662,0.121049502128389,40.6046,164.955,-4.13571,59.9202,-0.486179,-0.296981,-0.821847,-12.3211,119.294,-34.0084,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2014 14:13:53,6,No,15,1,66.6287,114.903,7.70423,0.476305416597383,-0.626570877145115,-0.291779264629981,59.9851,162.976,-13.0206,68.61,-0.405336,0.000580096,-0.914168,-7.05089,149.062,-59.3112,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2014 16:20:04,6,Yes,5,-1,21.455,69.8545,14.4177,0.370669361881455,-0.438095566097205,3.13880145489902,17.0911,124.952,35.9828,92.786,-0.0355272,-0.633172,-0.773196,-13.3255,80.9298,-42.9433,0.838206,-0.117798,-0.53248,32.1966,89.3715,-38.9581,-0.623452,0.169963,-0.763165,-57.2896,90.189,-35.6592,,,,,,,,,,,,
3/12/2014 12:52:23,6,Yes,8,-1,6.36495,71.2595,5.43243,0.326937934357881,-1.00450054186691,-0.023157078905463,-1.21534,115.117,-5.22639,74.4277,-0.109714,-0.447493,-0.887532,-23.9756,87.4924,-86.7879,-0.631211,0.273018,-0.725971,-70.4509,93.1755,-41.1694,-0.786631,0.604789,0.124265,-60.0328,66.3441,27.8914,,,,,,,,,,,,
3/26/2014 12:16:11,6,Yes,14,-1,33.3598,116.167,18.9511,-0.255107079896919,-1.21732052900077,-3.08590813852157,8.88744,162.74,4.07082,93.7076,-0.867899,-0.453913,-0.201778,-24.3233,86.4062,-31.8246,-0.841941,-0.106356,-0.528984,-98.9854,111.598,-30.157,-0.752612,-0.244491,0.611392,-53.3788,94.7075,48.0194,,,,,,,,,,,,
3/29/2014 14:26:19,5,No,15,1,45.3595,125.824,19.5363,-0.015727289516688,-0.67845144962409,-0.500947576716611,39.4393,145.013,0.836919,58.2075,-0.784313,-0.508287,0.355664,-25.7234,147.992,-38.4709,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2014 10:49:33,5,Yes,1,-1,-12.2295,196.455,0.0164139,0.171817208092373,-0.151418572935197,-0.018167412924844,-20.0494,188.642,-37.4439,51.8563,-0.180137,-0.266452,-0.946865,-63.697,194.302,-84.3131,0.195291,-0.101655,-0.975463,25.4053,198.427,-74.4157,-0.476329,0.694607,-0.539103,-28.9435,195.801,-44.9407,,,,,,,,,,,,
3/4/2014 12:55:12,5,Yes,4,-1,7.61854,267.56,55.0363,0.7174267094458,-0.341622375416165,-0.082542743163634,-19.7416,324.245,38.1798,74.436,0.0806875,0.329907,-0.940559,26.6119,322.1,-29.5697,-0.368311,0.754483,-0.543233,-85.5884,342.317,-13.354,0.642849,0.367893,-0.671863,-6.87863,271.668,-9.95678,,,,,,,,,,,,
3/5/2014 13:27:28,5,Yes,6,-1,34.5256,213.084,62.0244,1.00201342321257,-0.035057894307204,3.10735456891227,28.3547,255.3,65.8967,64.9643,-0.0913599,0.565151,-0.819913,-11.5301,286.173,15.4579,0.497713,0.625922,-0.600419,28.3043,224.418,16.1049,0.175774,0.595,-0.784269,80.1377,269.517,19.6085,,,,,,,,,,,,
