Timestamp,Gesture,Control,Name,Score_knn,Score_knn_plus,Score_svm,Score_svm_plus,Hand_position_x,Hand_position_y,Hand_position_z,Hand_pitch,Hand_yaw,Hand_roll,Hand_sphere_x,Hand_sphere_y,Hand_sphere_z,Hand_sphere_r,finger0_direction_x,finger0_direction_y,finger0_direction_z,finger0_tip_x,finger0_tip_y,finger0_tip_z,finger1_direction_x,finger1_direction_y,finger1_direction_z,finger1_tip_x,finger1_tip_y,finger1_tip_z,finger2_direction_x,finger2_direction_y,finger2_direction_z,finger2_tip_x,finger2_tip_y,finger2_tip_z,finger3_direction_x,finger3_direction_y,finger3_direction_z,finger3_tip_x,finger3_tip_y,finger3_tip_z,finger4_direction_x,finger4_direction_y,finger4_direction_z,finger4_tip_x,finger4_tip_y,finger4_tip_z
3/3/2014 10:50:46,1,Yes,1,10,10,10,10,-8.04393,181.313,12.6996,0.155702336851667,-0.000130620110746,-0.30755722223932,-27.5168,126.654,-44.5714,86.7709,0.07132,0.263136,-0.962119,-2.28757,207.061,-81.1991,-0.139923,0.269338,-0.952827,-43.644,215.627,-71.2186,0.34553,0.182994,-0.920392,34.2616,189.751,-68.6897,0.602412,0.00745279,-0.79815,59.6682,165.118,-35.8315,-0.52773,0.383924,-0.757696,-75.038,202.093,-11.2457
3/3/2014 11:12:53,1,Yes,2,10,10,10,10,7.11845,143.743,42.7699,0.591103972210752,-0.082290753679905,-0.482709214574117,-57.5027,59.1387,-62.8663,155.31,0.0750139,0.360146,-0.929875,37.627,181.408,-53.4223,0.0454573,0.395995,-0.917127,8.05418,204.533,-53.0011,0.456127,0.237536,-0.857628,76.3966,142.578,-29.2542,-0.176352,0.525678,-0.832203,-35.0686,213.774,-27.4084,-0.356036,0.729265,-0.584303,-75.0012,168.908,60.0639
3/4/2014 12:45:44,1,Yes,4,10,10,10,10,27.7385,175.567,6.27932,1.02836617385577,-0.852477360946438,-0.647159102626934,147.685,325.942,36.069,204.121,-0.201905,0.647237,-0.735063,22.5138,220.098,-86.9885,-0.201221,0.708337,-0.676586,-5.59919,250.781,-79.9646,-0.250115,0.793198,-0.55523,-25.6541,261.927,-59.4588,-0.214352,0.87899,-0.425945,-39.8338,264.883,-23.8501,-0.44218,0.487826,0.752663,-51.9727,198.882,73.2331
3/4/2014 16:17:36,1,Yes,5,10,10,10,10,14.2222,114.687,18.5515,0.557768191290818,-0.863335783794067,-0.338395846758766,36.1688,206.903,9.84587,115.811,-0.174122,0.173326,-0.96935,6.51257,122.583,-72.1066,-0.591544,0.197059,-0.78182,-36.7555,139.791,-67.8616,-0.437032,0.346399,-0.830067,-54.2513,157.36,-54.695,-0.51806,0.596815,-0.61272,-68.4449,160.506,-21.6686,-0.797849,0.15267,0.583205,-51.9825,123.469,63.9898
3/11/2014 11:19:26,1,Yes,7,10,10,10,10,12.2133,117.712,47.9023,0.693734621429468,-0.491032124346145,-0.268530170717908,-13.7393,74.3925,0.052645,85.4616,-0.217977,0.338456,-0.915387,11.3389,158.611,-31.0189,-0.315925,0.192402,-0.929071,-16.7005,158.557,-27.996,0.12034,0.308514,-0.943577,48.7448,133.02,-22.2677,-0.518627,0.329967,-0.788763,-44.2529,162.341,4.44614,-0.863873,0.4925,-0.10567,-50.4014,104.057,72.0139
3/11/2014 11:20:25,1,Yes,7,10,10,10,10,2.85404,120.628,42.2891,0.687522749058075,-0.027312503267152,-0.14303718300947,-12.1636,56.4056,-43.7449,116.921,0.090738,0.318433,-0.943592,10.1673,169.684,-40.2922,0.186863,0.41222,-0.891715,38.8247,166.804,-30.915,-0.206146,0.350407,-0.913629,-32.4969,172.118,-22.5751,0.503107,0.362393,-0.784573,67.6014,138.05,-7.47747,-0.578056,0.397429,-0.712672,-77.9619,116.409,38.3377
3/17/2014 11:59:20,1,Yes,10,10,10,10,10,1.19225,192.079,35.3438,0.448818848427577,-0.071534897421206,-0.28496853164792,-19.0106,165.591,-24.0162,82.3409,-0.00341471,0.50751,-0.861639,3.85642,243.742,-53.179,0.25144,0.593142,-0.764827,43.3261,232.085,-40.3868,-0.263155,0.466778,-0.844315,-40.0626,245.942,-34.032,0.436559,0.300975,-0.847838,68.0337,192.899,-23.7993,-0.536091,0.692149,-0.483255,-82.635,210.042,29.9908
3/17/2014 11:59:52,1,Yes,10,10,10,10,10,3.80366,193.698,29.4383,0.3830531183512,-0.049759977714677,-0.441797504807292,-27.0664,172.185,-26.4964,82.9175,0.133351,0.361375,-0.922835,14.283,239.29,-61.9429,0.301958,0.349573,-0.886916,42.1115,217.892,-54.8143,-0.132448,0.523464,-0.84169,-26.5228,259.304,-40.8859,0.452002,0.114877,-0.884589,64.4415,177.644,-39.0673,-0.389575,0.854218,-0.3443,-76.7741,225.408,31.2089
3/19/2014 11:16:05,1,Yes,11,10,10,10,10,17.7069,95.4077,10.0603,0.531550144635662,-0.488189039988969,-0.190105209094855,3.18935,101.754,-24.8321,64.7826,-0.228304,0.348276,-0.909165,8.97728,140.413,-88.6174,-0.378125,0.243288,-0.893215,-26.1388,147.155,-81.3516,0.189164,0.22777,-0.955164,56.2168,113.361,-75.1204,-0.581405,0.301221,-0.7558,-61.861,141.237,-56.6839,-0.656389,0.252528,-0.710903,-63.8499,99.4745,1.95165
3/19/2014 12:06:23,1,Yes,12,10,10,10,10,45.2315,192.642,33.7963,0.344255450139967,-0.302794074112687,-0.583581872893222,38.7828,204.899,-4.85097,67.7951,0.0472935,0.181985,-0.982163,46.6209,204.091,-76.6379,0.057206,0.354828,-0.93318,27.9368,240.304,-72.8023,0.22679,-0.299874,-0.926629,67.3305,154.065,-59.2654,-0.215566,0.541555,-0.812557,1.45669,260.266,-47.4167,-0.616597,0.244886,-0.748224,-20.3757,236.015,37.3571
